time, name, version, hash_source, binaries, binaries_size
20150624033434,pcre3,2:8.35-6,d17671d899628351ac478ced9dc1d1cb,"libpcre3 libpcre3-udeb libpcrecpp0 libpcre3-dev libpcre3-dbg pcregrep libpcre16-3 libpcre32-3",2139880
20150627033913,geoip-database,20150616-1,33dba35952bde119496161f306be6b7d,"geoip-database geoip-database-extra",11380290
20150630033432,installation-report,2.59,80969e02b22f8eb50912e09d6afad477,"save-logs installation-report",18874
20150630033432,dictionaries-common,1.26.0,50c5fe60b3de33823bb37c01ada02e77,"dictionaries-common dictionaries-common-dev",386088
20150707034200,iso-codes,3.59-1,03bf40c8a309e41ee06f61c435528b14,"iso-codes",2311772
20150716033512,geoip-database,20150710-1,fd625098bafe524855a066d3e7bdc79e,"geoip-database geoip-database-extra",11287322
20150904034738,libobject-remote-perl,0.003005-1,c456e492f222d337584f09b33b6d4e38,"libobject-remote-perl",51954
20150904034738,libtemplate-plugin-stash-perl,1.006-1,cb7c286ca5bb1a79f27e89f3c0dd38f5,"libtemplate-plugin-stash-perl",5856
20150904034738,linux-base,4.0,271f9affbb5165a551f3dcbc62fe956e,"linux-base",7044
20150904034738,logrotate,3.8.7-2,4fb59171b00028562125d46cbfa81fbf,"logrotate",52182
